timestamp,case_id,model_name,prompt_version,is_uncertain_case,ai_confidence,confidence_appropriate,checker_fails,checker_warns,concept_tag,osi_layer,severity,safety_risk_level,safety_risk_reasons,grounded_in_evidence,hallucination_warning,human_review_status,remediation_command
2026-08-29T13:58:53.556327+00:00,C001,gemini-3.5-flash-lite,V2,False,high,True,2,0,,0,,Low,None,True,All cited network interfaces grounded in supplied case evidence.,Approved,"On SW1, run: interface fa0/5 / switchport access vlan 20, then verify with 'show vlan brief' that Fa0/5 lists under VLAN"
2026-08-29T13:58:53.557499+00:00,C005,gemini-3.5-flash-lite,V2,True,high,False,0,0,,0,,Medium,[Medium] Changes 802.1Q trunk native VLAN,True,All cited network interfaces grounded in supplied case evidence.,Modified,"Ensure both trunk ends agree on native VLAN (commonly VLAN 1, or a dedicated unused VLAN per security best practice) and"
2026-08-29T13:58:53.572634+00:00,C011,gemini-3.5-flash-lite,V2,False,high,True,0,0,,0,,Low,None,True,All cited network interfaces grounded in supplied case evidence.,Modified,"Align VTP domain/mode across switches, or if VTP is not in use, manually ensure VLAN 30 is named and provisioned identic"
2026-08-29T13:58:53.573825+00:00,C018,gemini-3.5-flash-lite,V2,False,high,True,0,0,,0,,Low,None,True,All cited network interfaces grounded in supplied case evidence.,Approved,"Correct PC-BR5's subnet mask to 255.255.255.0 to match the rest of the Branch LAN, then re-test connectivity to HQ resou"
2026-08-29T13:58:53.575184+00:00,C023,gemini-3.5-flash-lite,V2,True,high,False,1,0,,0,,Low,None,True,All cited network interfaces grounded in supplied case evidence.,Modified,Consider expanding the NAT overload pool to use a small pool of outside addresses instead of a single IP (e.g. 'ip nat p
2026-08-29T13:58:53.575909+00:00,C025,gemini-3.5-flash-lite,V2,False,high,True,0,0,,0,,Low,None,True,All cited network interfaces grounded in supplied case evidence.,Modified,"Rewrite ACL GUEST_ISOLATION to explicitly deny guest traffic to internal subnets before the permit-any, e.g. 'deny ip 17"
2026-08-29T13:58:53.576781+00:00,C029,gemini-3.5-flash-lite,V2,False,high,True,0,0,,0,,Low,None,True,All cited network interfaces grounded in supplied case evidence.,Modified,"Either update the printed Wi-Fi card/documentation to match the current PSK 'CorpWifi2023!', or if that key was changed "
2026-08-29T13:58:53.577521+00:00,C030,gemini-3.5-flash-lite,V2,True,medium,True,0,0,,0,,Low,None,True,All cited network interfaces grounded in supplied case evidence.,Approved,Cannot be finalized without AP2's own console/discovery logs; likely candidates to check are DHCP Option 43 (WLC IP adve
2026-08-29T13:59:31.467449+00:00,C005,gemini-3.5-flash-lite,V1,True,high,False,0,0,vlan,2,high,Medium,[Medium] Changes 802.1Q trunk native VLAN,True,All cited network interfaces grounded in supplied case evidence.,Pending,"On R1-BR, update the subinterface Gi0/0.1 encapsulation command to match SW1's native VLAN by changing it to 'encapsulat"
2026-08-29T13:59:42.437897+00:00,C001,gemini-3.5-flash-lite,V1,False,high,True,2,0,vlan,2,high,Low,None,True,All cited network interfaces grounded in supplied case evidence.,Pending,"On SW1, change the access VLAN for port Fa0/5 to VLAN 20 by executing: interface fa0/5  switchport access vlan 20 Then v"
2026-08-29T16:59:16.837080+00:00,C005,gemini-3.5-flash-lite,V2,True,medium,True,0,0,,0,,Low,None,True,All cited network interfaces grounded in supplied case evidence.,Pending,
2026-08-29T16:59:16.839119+00:00,C023,gemini-3.5-flash-lite,V2,True,medium,True,1,0,,0,,Low,None,True,All cited network interfaces grounded in supplied case evidence.,Pending,
2026-08-29T16:59:16.840427+00:00,C030,gemini-3.5-flash-lite,V2,True,medium,True,0,0,,0,,Low,None,True,All cited network interfaces grounded in supplied case evidence.,Pending,
